Account,A.1654653399040a61.FlowToken.Vault,A.1e4aa0b87d10b141.EVMVMBridgedToken_717dae2baf7656be9a9b01dee31d571a9d4c9579.Vault,A.231cc0dbbcffc4b7.ceWBTC.Vault,A.1e4aa0b87d10b141.EVMVMBridgedToken_2aabea2058b5ac2d339b163c6ab6f2b6d53aabed.Vault,A.1e4aa0b87d10b141.EVMVMBridgedToken_d3378b419feae4e3a4bb4f3349dba43a1b511760,A.231cc0dbbcffc4b7.ceUSDT.Vault,A.1e4aa0b87d10b141.EVMVMBridgedToken_f1815bd50389c46847f0bda824ec8da914045d14.Vault,A.f1ab99c82dee3526.USDCFlow.Vault,A.231cc0dbbcffc4b7.ceDAI.Vault,A.231cc0dbbcffc4b7.ceWETH.Vault,A.1e4aa0b87d10b141.EVMVMBridgedToken_2f6f07cdcf3588944bf4c42ac74ff24bf56e7590,A.231cc0dbbcffc4b7.ceBNB.Vault,A.231cc0dbbcffc4b7.ceBUSD.Vault
0xfd595328d97d33d5,43866737791.5107,8794093.02223287,87960773.3121788,87930957081.01493053,87960930222.1705,87954757400.053,87961440414.53438215,87955380719.61159618,87954949558.2172,879606918.32142744,879609302.221247,879608303.235091,87954949980.7595
0x2ef3addd3d2fdcb2,42887363475.9644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x876d79eb09383877,20069969.88672,2000.0,0.0,29659995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x1d84e60dc3a2f0c7,200300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
